Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2011-02-14,4436.64990234375,4525.25,4432.35009765625,4515.2001953125,0,1.9531690154044545,1.934339456501247,,,,,,,,2.057492432787254,92.89990234375,0.1795042942772298,,-65.4361409887506,-45.69864674607977,-19.737494242670827,,,,,,,2011,2,14,0,1,0.9627703491307911,-3.722965086920893
2011-02-15,4520.9501953125,4553.25,4449.5498046875,4498.35009765625,0,-0.37318605880959366,-0.3738841352725891,,,,,,,,2.3052940091641676,103.7001953125,0.12734762028867333,,-62.3214950963993,-49.023216416143676,-13.298278680255628,,,,,,,2011,2,15,1,1,0.9591774244094825,-4.082257559051761
2011-02-16,4485.7001953125,4552.2001953125,4433.25,4451.35009765625,0,-1.0448275251961459,-1.0503241684675084,,,,,,,,2.6722273625507538,118.9501953125,-0.2812120459530464,,-62.92031674659211,-51.80263648223336,-11.117680264358746,,,,,,,2011,2,16,2,1,0.9491556746637848,-5.084432533621531
2011-02-17,4458.75,4500.85009765625,4437.60009765625,4477.4501953125,0,0.5863411568097554,0.5846288670284716,,,,,,,,1.4126343619906088,63.25,0.16623950445160982,31.429854886313947,-60.59037928916132,-53.56018504361896,-7.030194245542361,,,,,,94.36788504464286,2011,2,17,3,1,0.9547209650265339,-4.527903497346619
2011-02-18,4479.85009765625,4518.10009765625,4456.9501953125,4463.25,0,-0.3171491517061753,-0.3176531354972962,,,,,,,,1.3700756700554528,61.14990234375,0.05359975519688613,30.66816885634144,-59.20722017463049,-54.689592069821266,-4.517628104809226,,,,,,91.11429268973214,2011,2,18,4,1,0.9516930755847912,-4.8306924415208785
2011-02-21,4460.60009765625,4507.39990234375,4427.0,4497.2998046875,0,0.7628926160869298,0.7599973064471527,,,,,,,,1.787737216450409,80.39990234375,-0.05937158670811628,38.207154415345705,-54.73259861211045,-54.69819337827911,-0.034405233831343196,,,,,,87.86785016741071,2011,2,21,0,1,0.9589534717862382,-4.104652821376176
2011-02-22,4489.4501953125,4489.4501953125,4432.64990234375,4458.9501953125,0,-0.8527252138055941,-0.8563817167103089,,,,,,,,1.2738490111071812,56.80029296875,-0.17454049576188838,35.653839986648634,-53.662335758431254,-54.49102185430954,0.8286860958782825,,,,,,87.55357142857143,2011,2,22,1,1,0.9507762337436528,-4.922376625634717
2011-02-23,4459.85009765625,4472.7001953125,4418.9501953125,4426.39990234375,0,-0.7299990253976985,-0.7326765568768763,,,,,,,,1.2143051054094711,53.75,0.020181933063437848,32.66527135233423,-54.80887870808783,-54.5545932250652,-0.25428548302263465,,,,,,87.32498604910714,2011,2,23,2,1,0.9438355765036113,-5.616442349638873
2011-02-24,4412.89990234375,4422.89990234375,4274.25,4300.25,0,-2.849943636519481,-2.8913429995170645,,,,,,,,3.4567734979070988,148.64990234375,-0.30498825903307647,29.843478938010207,-65.14580481050507,-56.67283554215318,-8.47296926835189,,,,,,89.44642857142857,2011,2,24,3,1,0.9169367945518396,-8.306320544816037
2011-02-25,4337.2998046875,4368.7998046875,4300.7998046875,4328.10009765625,0,0.6476390362478934,0.6455508656643063,,,,,,0.0,,1.571128173232946,68.0,0.8615732733562002,36.38449646421296,-70.28047354141017,-59.39436314200458,-10.886110399405595,4485.157543945313,4695.053364568249,4275.261723322376,419.7916412458726,0.1258680953652579,88.39641462053571,2011,2,25,4,1,0.9228752351710775,-7.712476482892249
