Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2005-11-30,2605.110107421875,2605.110107421875,2605.10009765625,2605.10009765625,0,,,,,,,,,,0.0003842372749517595,0.010009765625,,,0.0,0.0,0.0,,,,,,,2005,11,30,2,4,,0.0
2005-12-01,2614.64990234375,2654.10009765625,2595.449951171875,2649.75,0,1.7139419089470032,1.6994196254191412,,,,,,,,2.2134218882677614,58.650146484375,0.3665811035856835,,3.5618155715810644,0.7123631143162129,2.8494524572648516,,,,,,,2005,12,1,3,4,1.01713941908947,0.0
2005-12-02,2670.35009765625,2679.89990234375,2646.89990234375,2652.300048828125,0,0.09623733665911072,0.09619105822331726,,,,,,,,1.2442031215352316,33.0,0.7774355186810076,,6.515244024817548,1.87293929641648,4.642304728401069,,,,,,,2005,12,2,4,4,1.0181182869765117,0.0
2005-12-05,2663.550048828125,2663.550048828125,2614.050048828125,2619.699951171875,0,-1.229125553523014,-1.2367417746134666,,,,,,,,1.88952937063869,49.5,0.4241601550688289,,6.154358310190219,2.729223099171228,3.4251352110189908,,,,,,,2005,12,5,0,4,1.0056043349461927,-1.229125553523014
2005-12-06,2622.300048828125,2646.449951171875,2604.050048828125,2618.60009765625,0,-0.04198394992269705,-0.041992765650499454,,,,,,,,1.619182034771158,42.39990234375,0.09925173511137768,,5.713740352353398,3.326126549807662,2.3876138025457356,,,,,,,2005,12,6,1,4,1.0051821425257885,-1.2705934679888453
2005-12-07,2622.89990234375,2649.10009765625,2622.89990234375,2646.35009765625,0,1.0597265319296945,1.0541507874876497,,,,,,,,0.9900502331760375,26.2001953125,0.16420241835889696,,7.51708821612965,4.16431888307206,3.3527693330575907,,,,,,,2005,12,7,2,4,1.0158343243843537,-0.22433175215239576
2005-12-08,2653.89990234375,2663.550048828125,2630.0,2659.699951171875,0,0.5044628648132488,0.5031947140151733,,,,,,,,1.2614223199629233,33.550048828125,0.2852912278759531,,9.909248353199473,5.313304777097542,4.595943576101931,,,,,,,2005,12,8,3,4,1.0209588313188993,0.0
2005-12-09,2664.25,2707.199951171875,2664.25,2703.699951171875,0,1.654321946376447,1.6407871100518774,,,,,,,,1.5885620426652387,42.949951171875,0.17107376439662786,,15.180493493601716,7.286742520398377,7.893750973203339,,,,,,,2005,12,9,4,4,1.0378487773288763,0.0
2005-12-12,2716.449951171875,2733.10009765625,2709.14990234375,2720.75,0,0.6306191195785127,0.6286390373666174,,,,,,,,0.8802791624552053,23.9501953125,0.4715759969767991,,20.497507188256805,9.928895453970064,10.56861173428674,,,,,,,2005,12,12,0,4,1.044393650151024,0.0
2005-12-13,2722.39990234375,2757.0,2713.35009765625,2755.10009765625,0,1.2625231151796479,1.254619743838134,,,,,,,,1.5843309061940345,43.64990234375,0.06064145341358082,,27.16984756333386,13.377085875842823,13.792761687491037,,,,,,,2005,12,13,1,4,1.0575793613976492,0.0
2005-12-14,2758.699951171875,2770.35009765625,2734.75,2752.0,0,-0.11252214244001912,-0.11258549613179544,,,,,,,,1.2936081997183868,35.60009765625,0.13066144198126878,,31.84053553631884,17.06977580793803,14.77075972838081,,,,,,,2005,12,14,2,4,1.056389350442201,-0.11252214244001912
2005-12-15,2766.449951171875,2766.449951171875,2710.449951171875,2722.75,0,-1.0628633720930258,-1.0685521097438486,,,,,,,,2.0567441006335505,56.0,0.5250709001408066,,32.80371801616411,20.216564249583246,12.587153766580865,,,,,,,2005,12,15,3,4,1.0451613749696596,-1.1741895578955552
2005-12-16,2737.0,2757.89990234375,2715.35009765625,2754.39990234375,0,1.1624241059131402,1.1557198613881348,,,,,,,,1.5447940094426338,42.5498046875,0.5233679184647874,,35.70929515439093,23.315110430544784,12.394184723846145,,,,,,,2005,12,16,4,4,1.057310582738,-0.025414514452515302
2005-12-19,2761.85009765625,2790.699951171875,2761.85009765625,2788.25,0,1.228946371492623,1.2214561304969083,,,,,,,,1.0346939304447234,28.849853515625,0.27048342930017333,79.04835881740682,40.27909363521712,26.707907071479255,13.571186563737868,,,,,,38.47215053013393,2005,12,19,0,4,1.0703043627799662,0.0
2005-12-20,2791.39990234375,2796.89990234375,2763.0,2773.10009765625,0,-0.543348062180582,-0.5448295666849261,,,,,,,,1.2224550557118832,33.89990234375,0.11297058526853761,75.42373632804707,42.191859851915524,29.80469762756651,12.387162224349012,,,,,,40.892857142857146,2005,12,20,1,4,1.064488884765367,-0.543348062180582
2005-12-21,2780.699951171875,2792.75,2747.89990234375,2769.89990234375,0,-0.11540136308836324,-0.11546800173424698,,,,,,,,1.6191956113035022,44.85009765625,0.2740562276150144,70.79076330331041,42.95436071070344,32.4346302441939,10.519730466509543,,,,,,39.907139369419646,2005,12,21,2,4,1.0632604500824236,-0.6581223941988679
2005-12-22,2782.449951171875,2790.800048828125,2765.39990234375,2781.050048828125,0,0.4025469106280877,0.4017388583522348,,,,,,,,0.9133293554022186,25.400146484375,0.45308672770109054,71.63499802259007,43.9517236590973,34.738048927174574,9.213674731922723,,,,,,39.364292689732146,2005,12,22,3,4,1.0675405721761608,-0.258224734936785
2005-12-23,2791.89990234375,2798.85009765625,2746.449951171875,2751.10009765625,0,-1.0769296001880702,-1.082770459486878,,,,,,,,1.9046979253505303,52.400146484375,0.39013514050913595,72.27875232529549,41.843089138754294,36.15905696949052,5.684032169263773,,,,,,39.571446010044646,2005,12,23,4,4,1.0560439117603786,-1.3323734365193185
2005-12-26,2739.75,2739.75,2686.550048828125,2693.550048828125,0,-2.0918922171226595,-2.1140822895295646,,,,,,,,1.9750867890879007,53.199951171875,-0.41256578289970297,60.66598523692422,35.123293649190146,35.951904305430446,-0.8286106562403006,,,,,,41.153599330357146,2005,12,26,0,4,1.0339526113608655,-3.3963938374204194
2005-12-27,2681.35009765625,2756.699951171875,2673.10009765625,2750.699951171875,0,2.121731592424436,2.0995362688988948,,,,,,0.0,,3.0392211073406656,83.599853515625,-0.4529320395283837,63.70318931129625,34.01719772724755,35.56496298979387,-1.5477652625463207,2708.3925170898438,2829.3060447470316,2587.478989432656,241.82705531437568,0.674949134731974,44.946446010044646,2005,12,27,1,4,1.0558903105668065,-1.3467246060477
2005-12-28,2751.5,2767.89990234375,2727.75,2739.5,0,-0.4071673163444589,-0.4079984994330824,,,,,1.121881484432416,0.0,,1.4655923469154957,40.14990234375,0.029085281649281917,60.538824192469825,31.869494586917426,34.82586930921858,-2.956374722301156,2715.112512207031,2826.4116070659416,2603.8134173481208,222.5981897178208,0.6095583383848895,45.41786411830357,2005,12,28,2,4,1.0515910703257305,-1.7484084999551674
2005-12-29,2749.300048828125,2768.0,2741.64990234375,2762.64990234375,0,0.845041151441861,0.84149066671938,,,,,1.078510627286656,0.0,,0.9537979326984343,26.35009765625,0.35773129505840484,58.23898126379794,31.670351919357927,34.19476583124645,-2.524413911888523,2720.7575073242188,2829.5216621339387,2611.993352514499,217.52830961943982,0.6925836462059625,44.060721261160715,2005,12,29,3,4,1.0604774476148708,-0.9181421198332318
